COUNTY,POPULATION,Violent Crime,MURDER,RAPE,ROBBERY,AGGRAV,BURGLARY,LARCENY,MOTOR,ARSON,INDEX,%OF
Baker,3481,1,0,0,1,1,0,3,0,0,5,
Dougherty,92716,526,10,30,206,486,1641,3268,309,15,5965,
Lee,34384,25,0,3,4,22,182,404,43,0,658,
Terrell,9922,47,0,1,4,46,128,61,13,0,253,
Worth,20447,19,1,1,3,17,140,365,40,1,568,
Clarke,114028,271,5,30,114,236,1412,3598,313,24,5732,
Madison,27549,156,1,1,9,154,212,472,67,7,923,
Oconee,32993,95,0,1,7,94,138,430,35,1,706,
Oglethorpe,12833,53,1,0,3,52,68,148,18,0,290,
Barrow,72931,332,4,12,18,316,486,1426,122,10,2394,
Bartow,95201,251,1,32,57,218,943,2347,272,3,3873,
Butts,24099,38,1,9,8,28,149,465,54,3,717,
Carroll,114014,798,2,28,50,768,887,2659,230,24,4648,
Cherokee,216615,170,1,23,40,146,690,2407,158,6,3471,
Clayton,270664,781,15,91,620,675,4981,6238,1593,44,14257,
Cobb,702023,1397,3,135,608,1259,4859,11599,1227,62,19746,
Coweta,127253,191,3,22,46,166,833,1769,161,14,3014,
Dawson,22538,18,0,0,0,18,98,344,36,2,498,
DeKalb,730856,1895,85,178,2114,1632,10437,19743,4915,116,39220,
Douglas,129757,295,4,19,66,272,806,3215,260,9,4651,
Fayette,104834,60,1,11,24,48,313,1085,139,8,1629,
Forsyth,178423,88,3,18,17,67,517,1561,95,9,2287,
Fulton,1023712,4978,132,232,3225,4614,14010,32403,7399,134,62149,
Gwinnett,805870,1142,28,196,872,918,6149,13450,1685,99,23397,
Haralson,28259,131,0,5,8,126,184,628,60,4,1015,
Heard,11194,24,0,2,1,22,60,129,23,0,237,
Henry,198194,303,6,39,119,258,1539,3477,471,17,5926,
Jasper,13762,11,0,1,3,10,86,138,3,0,241,
Lamar,17137,75,1,3,6,71,83,287,27,0,478,
Meriwether,22062,50,0,2,4,48,267,471,70,1,863,
Newton,101278,332,2,15,48,315,852,1530,248,12,3022,
Paulding,138965,189,1,19,27,169,723,2107,219,19,3284,
Pickens,31137,22,1,1,1,20,102,289,17,0,431,
Pike,17576,10,2,2,1,6,39,99,7,0,156,
Rockdale,83294,330,9,14,68,307,796,2215,231,8,3648,
Spalding,63224,211,7,19,68,185,715,2261,269,6,3530,
Walton,87464,144,3,12,18,129,535,1382,149,1,2229,
Burke,22101,184,3,1,13,180,311,634,51,0,1193,
Columbia,111799,125,1,13,23,111,441,2042,99,9,2739,
McDuffie,21206,34,4,2,6,28,87,275,23,0,425,
Richmond,193233,485,36,127,649,322,4287,8814,1569,64,15868,
Brantley,15228,34,0,4,4,30,214,111,1,3,367,
Glynn,75253,354,4,20,137,330,1172,3269,136,10,5078,
McIntosh,11053,37,2,2,11,33,167,260,39,7,521,
Catoosa,63047,112,0,14,13,98,305,1334,135,2,1901,
Dade,15694,40,1,4,0,35,54,149,33,1,277,
Walker,63241,279,2,3,11,274,458,1209,88,14,2059,
Chattahoochee,13938,0,0,0,0,0,0,0,0,0,0,
Harris,29849,16,0,3,4,13,39,449,13,0,521,
Marion,6748,14,0,0,4,14,13,46,2,0,79,
Muscogee,184576,529,15,38,478,476,3466,9063,1009,65,14610,
Murray,39684,52,0,5,2,47,178,675,66,1,974,
Whitfield,91618,228,5,27,38,196,776,2043,180,14,3279,
Hall,186894,239,4,36,87,199,1101,3111,303,18,4859,
Liberty,60242,178,5,13,59,160,642,1433,97,10,2419,
Long,12034,3,0,1,2,2,20,25,2,2,54,
Bibb,151161,612,25,48,331,539,2853,6349,884,73,11102,
Crawford,11821,36,1,5,2,30,147,292,44,2,523,
Jones,27257,30,0,1,4,29,155,385,65,1,640,
Monroe,24971,33,1,4,10,28,145,378,94,1,661,
Twiggs,9737,11,0,0,1,11,54,95,17,0,178,
Floyd,93639,350,2,22,100,326,840,2361,196,15,3862,
Bryan,32537,23,0,1,12,22,155,432,21,0,643,
Chatham,251095,552,20,35,498,497,2963,7573,762,51,12399,
Effingham,53624,58,2,33,12,23,250,279,44,3,646,
Brooks,15808,119,1,4,7,114,193,318,54,6,697,
Echols,4118,7,1,1,1,5,26,18,1,0,53,
Lanier,8272,8,0,4,0,4,23,72,4,0,107,
Lowndes,104844,225,3,24,91,198,1191,2533,187,9,4236,
Houston,133908,351,10,29,117,312,1139,3574,246,25,5452,
